full_name,age,birthday,birthday_GMT,league,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Carl Jenkinson,29,697507200,2/8/1992,Premier League,2016/2017,Defender,Arsenal,83,0,83,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.08,83,83,0,0,0,-1,-1,-1,16
Carl Stewart,24,862531200,5/2/1997,Premier League,2016/2017,Midfielder,Watford,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cedric Soares,30,683596800,8/31/1991,Premier League,2016/2017,Defender,Southampton,2520,1318,1202,Portugal,30,15,15,0,0,0,3,2,1,0,0,12,7,5,34,16,18,7,0,0.11,0.11,0,0,0,0,1.21,74,84,360,840,0.25,361,138,62,24
Cesar Azpilicueta,32,620265600,8/28/1989,Premier League,2016/2017,Defender,Chelsea,3420,1710,1710,Spain,38,19,19,1,1,0,4,2,2,0,0,16,8,8,30,15,15,4,0,0.13,0.11,0.03,0.05,0,3420,0.79,114,90,855,855,0.11,245,132,24,13
Cesc Fabregas,34,547084800,5/4/1987,Premier League,2016/2017,Midfielder,Chelsea,1328,739,589,Spain,29,13,16,5,4,1,12,9,3,0,0,9,4,5,12,8,4,8,0,1.15,0.81,0.34,0.49,0.15,266,0.81,111,46,166,111,0.54,43,1,-1,7
Charlie Adam,36,503020800,12/10/1985,Premier League,2016/2017,Midfielder,Stoke City,1495,848,647,Scotland,24,15,9,1,0,1,3,2,1,1,0,7,6,1,22,7,15,7,0,0.24,0.18,0.06,0,0.14,1495,1.32,68,62,214,498,0.42,206,75,-1,10
Charlie Austin,32,615600000,7/5/1989,Premier League,2016/2017,Forward,Southampton,939,507,432,England,15,8,7,6,4,2,1,0,1,2,0,5,3,2,8,3,5,1,0,0.67,0.1,0.58,0.71,0.42,157,0.77,117,63,939,939,0.1,10,140,-1,2
Charlie Daniels,35,526435200,9/7/1986,Premier League,2016/2017,Defender,AFC Bournemouth,3060,1530,1530,England,34,17,17,4,3,1,3,2,1,0,0,10,6,4,49,23,26,1,0,0.21,0.09,0.12,0.18,0.06,765,1.44,62,90,3060,1020,0.03,148,152,104,5
Charlie Rowan,24,882057600,12/14/1997,Premier League,2016/2017,Defender,Watford,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cheikhou Kouyaté,32,630201600,12/21/1989,Premier League,2016/2017,Midfielder,West Ham United,2728,1331,1397,Senegal,31,15,16,1,1,0,0,0,0,0,0,9,7,2,41,16,25,3,0,0.03,0,0.03,0.07,0,2728,1.35,67,88,909,0,0.1,250,390,-1,14
Chris Brunt,37,471830400,12/14/1984,Premier League,2016/2017,Midfielder,West Bromwich Albion,2477,1290,1187,Northern Ireland,31,16,15,3,3,0,4,3,1,0,0,4,3,1,36,16,20,5,0,0.25,0.15,0.11,0.21,0,826,1.31,69,80,495,619,0.18,161,89,-1,8
Chris Smalling,32,627696000,11/22/1989,Premier League,2016/2017,Defender,Manchester United,1213,378,835,England,18,6,12,1,1,0,1,0,1,0,0,9,3,6,15,3,12,0,0,0.15,0.07,0.07,0.24,0,1213,1.11,81,67,0,1213,0,188,175,55,14
Christian Benteke,31,660182400,12/3/1990,Premier League,2016/2017,Forward,Crystal Palace,3138,1539,1599,Belgium,36,18,18,15,4,11,2,0,2,2,2,7,5,2,53,20,33,10,0,0.49,0.06,0.43,0.23,0.62,209,1.52,59,87,314,1569,0.29,30,195,-1,1
Christian Eriksen,29,698025600,2/14/1992,Premier League,2016/2017,Midfielder,Tottenham Hotspur,3167,1588,1579,Denmark,36,18,18,8,5,3,15,9,6,0,0,16,11,5,23,8,15,0,0,0.65,0.43,0.23,0.28,0.17,396,0.65,138,88,0,211,0,78,9,-1,4
Christian Fuchs,35,513216000,4/7/1986,Premier League,2016/2017,Defender,Leicester City,3126,1550,1576,Austria,36,18,18,2,2,0,4,2,2,0,0,9,7,2,55,21,34,10,0,0.17,0.12,0.06,0.12,0,1563,1.58,57,87,313,782,0.29,205,118,126,7
Christian Kabasele,30,667353600,2/24/1991,Premier League,2016/2017,Defender,Watford,766,322,444,Belgium,16,8,8,2,0,2,0,0,0,0,0,4,3,1,14,5,9,1,0,0.23,0,0.23,0,0.41,383,1.64,55,48,766,0,0.12,80,263,139,6
Chuba Akpom,26,813196800,10/9/1995,Premier League,2016/2017,Forward,Arsenal,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Chung-Yong Lee,33,583804800,7/2/1988,Premier League,2016/2017,Midfielder,Crystal Palace,464,279,185,South Korea,15,7,8,0,0,0,1,0,1,0,0,0,0,0,11,6,5,0,0,0.19,0.19,0,0,0,0,2.13,42,31,0,464,0,399,64,-1,29
Claudio Andrés Bravo Muñoz,38,419040000,4/13/1983,Premier League,2016/2017,Goalkeeper,Manchester City,1969,979,990,Chile,22,11,11,0,0,0,0,0,0,0,0,6,3,3,23,9,14,0,0,0,0,0,0,0,0,1.05,86,90,0,0,0,285,297,46,21
Claudio Yacob,34,553564800,7/18/1987,Premier League,2016/2017,Midfielder,West Bromwich Albion,2418,1107,1311,Argentina,33,15,18,0,0,0,0,0,0,0,0,5,3,2,36,13,23,9,0,0,0,0,0,0,0,1.34,67,73,269,0,0.33,404,405,-1,14
Connor Randall,26,814233600,10/21/1995,Premier League,2016/2017,Defender,Liverpool,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Connor Roberts,26,811814400,9/23/1995,Premier League,2016/2017,Midfielder,Swansea City,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Connor Wickham,28,733536000,3/31/1993,Premier League,2016/2017,Forward,Crystal Palace,410,220,190,England,8,4,4,2,1,1,0,0,0,0,0,0,0,0,5,3,2,1,0,0.44,0,0.44,0.41,0.47,205,1.1,82,51,410,0,0.22,27,400,-1,10
Costel Pantilimon,34,539136000,2/1/1987,Premier League,2016/2017,Goalkeeper,Watford,81,24,57,Romania,2,1,1,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0,0,0,0,0,0,3.33,27,41,0,0,0,-1,-1,-1,22
Craig Cathcart,32,602726400,2/6/1989,Premier League,2016/2017,Defender,Watford,1162,578,584,Northern Ireland,15,7,8,0,0,0,1,1,0,0,0,2,2,0,21,9,12,3,0,0.08,0.08,0,0,0,0,1.63,55,77,387,1162,0.23,338,168,134,30
Craig Dawson,31,641952000,5/6/1990,Premier League,2016/2017,Defender,West Bromwich Albion,3278,1568,1710,England,37,18,19,4,3,1,0,0,0,0,0,6,4,2,49,20,29,10,0,0.11,0,0.11,0.17,0.05,820,1.35,67,89,328,0,0.27,152,404,88,6
Craig Gardner,35,533260800,11/25/1986,Premier League,2016/2017,Midfielder,West Bromwich Albion,213,100,113,England,9,5,4,0,0,0,1,1,0,0,0,3,2,1,6,4,2,1,0,0.42,0.42,0,0,0,0,2.54,36,24,213,213,0.42,-1,-1,-1,13
Cristhian Stuani,35,529459200,10/12/1986,Premier League,2016/2017,Forward,Middlesbrough,1359,686,673,Uruguay,23,10,13,4,1,3,0,0,0,0,0,7,4,3,14,9,5,4,0,0.26,0,0.26,0.13,0.4,340,0.93,97,59,340,0,0.26,63,360,-1,3
Curtis Davies,36,479692800,3/15/1985,Premier League,2016/2017,Defender,Hull City,2139,1082,1057,England,26,13,13,0,0,0,2,1,1,0,0,1,0,1,49,22,27,4,0,0.08,0.08,0,0,0,0,2.06,44,82,535,1070,0.17,396,169,161,22
Dael Fry,24,872899200,8/30/1997,Premier League,2016/2017,Midfielder,Middlesbrough,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daley Blind,31,636940800,3/9/1990,Premier League,2016/2017,Defender,Manchester United,1829,946,883,Netherlands,23,12,11,1,1,0,2,2,0,0,0,10,4,6,16,7,9,2,0,0.15,0.1,0.05,0.1,0,1829,0.79,114,80,915,915,0.1,217,144,25,12
Damián Emiliano Martínez,29,715392000,9/2/1992,Premier League,2016/2017,Goalkeeper,Arsenal,180,90,90,Argentina,2,1,1,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0,0,0,0,0,0,1.5,60,90,0,0,0,-1,-1,-1,27
Damien Delaney,40,364435200,7/20/1981,Premier League,2016/2017,Defender,Crystal Palace,2007,942,1065,Republic of Ireland,30,15,15,0,0,0,2,1,1,0,0,5,4,1,36,16,20,8,0,0.09,0.09,0,0,0,0,1.61,56,67,251,1004,0.36,367,155,133,26
Dan Gosling,31,633830400,2/1/1990,Premier League,2016/2017,Midfielder,AFC Bournemouth,1357,630,727,England,27,12,15,2,2,0,0,0,0,0,0,9,6,3,20,10,10,6,0,0.13,0,0.13,0.29,0,679,1.33,68,50,226,0,0.4,141,384,-1,9
Daniel Agyei,24,865123200,6/1/1997,Premier League,2016/2017,Forward,Burnley,22,15,7,England,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,26
Daniel Amartey,27,787968000,12/21/1994,Premier League,2016/2017,Midfielder,Leicester City,1666,792,874,Ghana,24,12,12,1,0,1,1,0,1,0,0,5,4,1,32,10,22,3,0,0.11,0.05,0.05,0,0.1,1666,1.73,52,69,555,1666,0.16,214,213,-1,14
Daniel Batty,24,881712000,12/10/1997,Premier League,2016/2017,Midfielder,Hull City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel James,24,879120000,11/10/1997,Premier League,2016/2017,Midfielder,Swansea City,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Kemp,23,916012800,1/11/1999,Premier League,2016/2017,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Daniel Sanchez Ayala,31,657936000,11/7/1990,Premier League,2016/2017,Defender,Middlesbrough,917,345,572,Spain,14,5,9,1,1,0,0,0,0,0,0,4,2,2,16,4,12,3,0,0.1,0,0.1,0.26,0,917,1.57,57,66,306,0,0.29,164,255,125,11
Daniel Sturridge,32,620611200,9/1/1989,Premier League,2016/2017,Forward,Liverpool,769,332,437,England,20,8,12,3,1,2,1,1,0,0,0,8,3,5,7,3,4,1,0,0.47,0.12,0.35,0.27,0.41,256,0.82,110,38,769,769,0.12,42,123,-1,9
Danny Drinkwater,31,636595200,3/5/1990,Premier League,2016/2017,Midfielder,Leicester City,2466,1270,1196,England,29,15,14,1,1,0,1,1,0,0,0,8,7,1,43,13,30,6,0,0.07,0.04,0.04,0.07,0,2466,1.57,57,85,411,2466,0.22,233,223,-1,11
Danny Rose,31,646876800,7/2/1990,Premier League,2016/2017,Defender,Tottenham Hotspur,1533,887,646,England,18,10,8,2,2,0,2,1,1,0,0,8,6,2,11,5,6,8,0,0.23,0.12,0.12,0.2,0,767,0.65,139,85,192,767,0.47,143,121,11,7
Danny Simpson,35,536716800,1/4/1987,Premier League,2016/2017,Defender,Leicester City,2990,1633,1357,England,35,19,16,0,0,0,2,2,0,0,0,9,7,2,47,19,28,12,0,0.06,0.06,0,0,0,0,1.41,64,85,249,1495,0.36,344,194,96,22
Danny Welbeck,31,659577600,11/26/1990,Premier League,2016/2017,Forward,Arsenal,746,379,367,England,16,8,8,2,1,1,2,2,0,0,0,7,5,2,10,3,7,0,0,0.48,0.24,0.24,0.24,0.25,373,1.21,75,47,0,373,0,75,43,-1,11
Darren Fletcher,37,444441600,2/1/1984,Premier League,2016/2017,Midfielder,West Bromwich Albion,3196,1530,1666,Scotland,38,19,19,2,2,0,3,1,2,0,0,6,4,2,45,18,27,0,0,0.14,0.08,0.06,0.12,0,1598,1.27,71,84,0,1065,0,209,172,-1,9
Darren Randolph,34,547776000,5/12/1987,Premier League,2016/2017,Goalkeeper,West Ham United,1980,900,1080,Republic of Ireland,22,10,12,0,0,0,0,0,0,0,0,4,4,0,35,17,18,1,0,0,0,0,0,0,0,1.59,57,90,1980,0,0.05,392,391,130,17
Darron Gibson,34,562118400,10/25/1987,Premier League,2016/2017,Midfielder,Sunderland,641,384,257,Republic of Ireland,12,5,7,0,0,0,0,0,0,0,0,2,1,1,10,7,3,4,0,0,0,0,0,0,0,1.4,64,53,160,0,0.56,268,277,-1,29
Daryl Janmaat,32,617068800,7/22/1989,Premier League,2016/2017,Defender,Watford,1614,687,927,Netherlands,27,14,13,2,0,2,1,1,0,0,0,4,4,0,31,7,24,2,0,0.17,0.06,0.11,0,0.19,807,1.73,52,60,807,1614,0.11,160,193,148,8
David de Gea,31,657936000,11/7/1990,Premier League,2016/2017,Goalkeeper,Manchester United,3150,1620,1530,Spain,35,18,17,0,0,0,0,0,0,0,0,14,7,7,27,11,16,2,0,0,0,0,0,0,0,0.77,117,90,1575,0,0.06,370,396,21,22
David Jones,37,468374400,11/4/1984,Premier League,2016/2017,Midfielder,Burnley,87,87,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1.03,87,87,87,0,1.03,-1,-1,-1,24
David Luiz,34,546048000,4/22/1987,Premier League,2016/2017,Defender,Chelsea,2956,1434,1522,Brazil,33,16,17,1,0,1,0,0,0,0,0,15,7,8,23,11,12,6,0,0.03,0,0.03,0,0.06,2956,0.7,129,90,493,0,0.18,259,288,17,15
David Marshall,36,478828800,3/5/1985,Premier League,2016/2017,Goalkeeper,Hull City,1440,720,720,Scotland,16,8,8,0,0,0,0,0,0,0,0,0,0,0,43,20,23,0,0,0,0,0,0,0,0,2.69,33,90,0,0,0,283,311,174,19
David Meyler,32,612403200,5/29/1989,Premier League,2016/2017,Midfielder,Hull City,954,514,440,Republic of Ireland,20,10,10,1,0,1,0,0,0,0,0,3,1,2,20,10,10,2,0,0.09,0,0.09,0,0.2,954,1.89,48,48,477,0,0.19,172,345,-1,12
David Nugent,36,483840000,5/2/1985,Premier League,2016/2017,Forward,Middlesbrough,39,2,37,England,4,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,21
David Ospina Ramírez,33,588988800,8/31/1988,Premier League,2016/2017,Goalkeeper,Arsenal,142,90,52,Colombia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2.54,36,71,0,0,0,-1,-1,-1,22
David Silva,36,505526400,1/8/1986,Premier League,2016/2017,Midfielder,Manchester City,2767,1334,1433,Spain,34,17,17,4,3,1,7,3,4,0,0,10,3,7,29,12,17,6,0,0.36,0.23,0.13,0.2,0.06,692,0.94,95,81,461,395,0.2,140,46,-1,8
Dean Marney,37,444355200,1/31/1984,Premier League,2016/2017,Midfielder,Burnley,1770,998,772,England,21,12,9,1,1,0,2,2,0,0,0,5,4,1,25,7,18,7,0,0.15,0.1,0.05,0.09,0,1770,1.27,71,84,253,885,0.36,215,143,-1,10
Declan Rice,23,916272000,1/14/1999,Premier League,2016/2017,Midfielder,West Ham United,0,0,0,Republic of Ireland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dejan Lovren,32,615600000,7/5/1989,Premier League,2016/2017,Defender,Liverpool,2555,1115,1440,Croatia,29,13,16,2,0,2,1,0,1,0,0,11,5,6,30,13,17,6,0,0.11,0.04,0.07,0,0.13,1278,1.06,85,88,426,2555,0.21,193,219,47,10
Dele Alli,25,829180800,4/11/1996,Premier League,2016/2017,Midfielder,Tottenham Hotspur,3045,1506,1539,England,37,19,18,18,9,9,7,2,5,1,0,17,12,5,21,6,15,4,0,0.74,0.21,0.53,0.54,0.53,169,0.62,145,82,761,435,0.12,15,54,-1,2
Demarai Gray,25,835920000,6/28/1996,Premier League,2016/2017,Midfielder,Leicester City,1035,517,518,England,30,17,13,1,0,1,3,0,3,0,0,7,6,1,18,6,12,2,0,0.35,0.26,0.09,0,0.17,1035,1.57,58,35,518,345,0.17,168,33,-1,12
Demetri Mitchell,25,852940800,1/11/1997,Premier League,2016/2017,Midfielder,Manchester United,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,17
Diafra Sakho,32,630460800,12/24/1989,Premier League,2016/2017,Forward,West Ham United,181,28,153,Senegal,4,1,3,1,0,1,0,0,0,0,0,1,1,0,4,0,4,0,0,0.5,0,0.5,0,0.59,181,1.99,45,45,0,0,0,-1,-1,-1,13
Didier Ndong Ibrahim,27,771811200,6/17/1994,Premier League,2016/2017,Midfielder,Sunderland,2519,1293,1226,Gabon,31,16,15,1,0,1,0,0,0,0,0,6,4,2,43,23,20,5,0,0.04,0,0.04,0,0.07,2519,1.54,59,81,504,0,0.18,236,268,-1,7
Diego Da Silva Costa,33,592185600,10/7/1988,Premier League,2016/2017,Forward,Chelsea,3090,1477,1613,Spain,35,17,18,20,11,9,7,5,2,0,1,14,7,7,27,12,15,10,0,0.79,0.2,0.58,0.67,0.5,155,0.79,114,88,309,441,0.29,11,60,-1,1
Dieumerci Mbokani Bezua,36,501465600,11/22/1985,Premier League,2016/2017,Forward,Hull City,763,534,229,Congo DR,12,8,4,0,0,0,1,1,0,0,0,0,0,0,13,8,5,0,0,0.12,0.12,0,0,0,0,1.53,59,64,0,763,0,289,124,-1,18
Dimitri Payet,34,543974400,3/29/1987,Premier League,2016/2017,Midfielder,West Ham United,1515,789,726,France,18,9,9,2,1,1,6,3,3,0,0,4,3,1,27,14,13,2,0,0.48,0.36,0.12,0.11,0.12,758,1.6,56,84,758,253,0.12,145,13,-1,8
Dimitrios Konstantopoulos,43,281145600,11/29/1978,Premier League,2016/2017,Goalkeeper,Middlesbrough,0,0,0,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dion Pereira,22,922320000,3/25/1999,Premier League,2016/2017,Midfielder,Watford,23,16,7,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,31
Divock Origi,26,798163200,4/18/1995,Premier League,2016/2017,Forward,Liverpool,1457,646,811,Belgium,34,15,19,7,4,3,3,2,1,0,0,11,5,6,17,9,8,0,0,0.62,0.19,0.43,0.56,0.33,208,1.05,86,43,0,486,0,29,65,-1,5
Domingos Quina,22,942883200,11/18/1999,Premier League,2016/2017,Midfielder,West Ham United,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dominic Calvert-Lewin,24,858470400,3/16/1997,Premier League,2016/2017,Forward,Everton,346,174,172,England,11,6,5,1,1,0,0,0,0,0,0,4,3,1,5,1,4,1,0,0.26,0,0.26,0.52,0,346,1.3,69,31,346,0,0.26,67,299,-1,12
Dominic Solanke,24,874195200,9/14/1997,Premier League,2016/2017,Forward,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Donald Love,27,786326400,12/2/1994,Premier League,2016/2017,Defender,Sunderland,606,481,125,Scotland,12,7,5,0,0,0,1,1,0,0,0,2,2,0,11,8,3,1,0,0.15,0.15,0,0,0,0,1.63,55,51,606,606,0.15,414,94,136,27
Duncan Watmore,27,763084800,3/8/1994,Premier League,2016/2017,Midfielder,Sunderland,1029,578,451,England,14,7,7,0,0,0,2,2,0,0,0,1,1,0,19,13,6,1,0,0.17,0.17,0,0,0,0,1.66,54,74,1029,515,0.09,416,81,-1,25
Dušan Kuciak,36,485481600,5/21/1985,Premier League,2016/2017,Goalkeeper,Hull City,0,0,0,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dušan Tadić,33,595987200,11/20/1988,Premier League,2016/2017,Midfielder,Southampton,2427,1219,1208,Serbia,33,16,17,3,1,2,5,1,4,1,1,12,6,6,29,14,15,4,0,0.3,0.19,0.11,0.07,0.15,809,1.08,84,74,607,485,0.15,154,61,-1,6
Eden Hazard,31,663206400,1/7/1991,Premier League,2016/2017,Midfielder,Chelsea,3007,1575,1432,Belgium,36,19,17,16,12,4,5,3,2,2,1,15,8,7,29,15,14,3,0,0.63,0.15,0.48,0.69,0.25,188,0.87,104,84,1002,601,0.09,21,91,-1,2
Edimilson Fernandes,25,829526400,4/15/1996,Premier League,2016/2017,Midfielder,West Ham United,984,493,491,Switzerland,28,15,13,0,0,0,0,0,0,0,0,8,6,2,14,7,7,4,0,0,0,0,0,0,0,1.28,70,35,246,0,0.37,304,283,-1,25
Eduardo dos Reis Carvalho,39,401241600,9/19/1982,Premier League,2016/2017,Goalkeeper,Chelsea,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Eldin Jakupovic,37,465523200,10/2/1984,Premier League,2016/2017,Goalkeeper,Hull City,1980,990,990,Switzerland,22,11,11,0,0,0,0,0,0,0,0,5,2,3,27,10,17,0,0,0,0,0,0,0,0,1.23,73,90,0,0,0,309,314,67,17
Elliot Embleton,22,923011200,4/2/1999,Premier League,2016/2017,Midfielder,Sunderland,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Elliott Jordan Moore,24,858470400,3/16/1997,Premier League,2016/2017,Defender,Leicester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Emilio Nsue López,32,623116800,9/30/1989,Premier League,2016/2017,Midfielder,Middlesbrough,322,90,232,Equatorial Guinea,4,1,3,0,0,0,0,0,0,0,0,1,0,1,5,1,4,0,0,0,0,0,0,0,0,1.4,64,81,0,0,0,349,358,-1,26
Emre Can,28,758332800,1/12/1994,Premier League,2016/2017,Midfielder,Liverpool,2368,1290,1078,Germany,32,17,15,5,2,3,2,0,2,0,0,11,6,5,27,12,15,6,0,0.27,0.08,0.19,0.14,0.25,474,1.03,88,74,395,1184,0.23,96,170,-1,8
Enner Remberto Valencia Lastra,32,626140800,11/4/1989,Premier League,2016/2017,Forward,Everton,918,490,428,Ecuador,24,12,12,3,2,1,1,1,0,0,0,6,5,1,11,3,8,1,0,0.39,0.1,0.29,0.37,0.21,306,1.08,83,38,918,918,0.1,57,145,-1,6
Eric Bertrand Bailly,27,766108800,4/12/1994,Premier League,2016/2017,Defender,Manchester United,2060,966,1094,Côte d'Ivoire,25,12,13,0,0,0,0,0,0,0,0,13,6,7,14,6,8,4,0,0,0,0,0,0,0,0.61,147,82,515,0,0.17,372,372,8,28
Eric Dier,28,758592000,1/15/1994,Premier League,2016/2017,Midfielder,Tottenham Hotspur,3044,1625,1419,England,36,19,17,2,1,1,0,0,0,0,0,17,12,5,22,8,14,6,0,0.06,0,0.06,0.06,0.06,1522,0.65,138,85,507,0,0.18,207,368,-1,6
Erik Lamela,29,699667200,3/4/1992,Premier League,2016/2017,Midfielder,Tottenham Hotspur,593,286,307,Argentina,9,4,5,1,0,1,1,1,0,0,1,5,3,2,2,1,1,1,0,0.3,0.15,0.15,0,0.29,593,0.3,297,66,593,593,0.15,122,92,-1,10
Erik Pieters,33,586915200,8/7/1988,Premier League,2016/2017,Defender,Stoke City,3150,1620,1530,Netherlands,36,18,18,0,0,0,1,0,1,0,0,10,6,4,47,21,26,4,0,0.03,0.03,0,0,0,0,1.34,67,88,788,3150,0.11,355,242,85,21
Ethan Robson,25,846201600,10/25/1996,Premier League,2016/2017,Midfielder,Sunderland,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Etienne Capoue,33,584582400,7/11/1988,Premier League,2016/2017,Midfielder,Watford,3213,1637,1576,France,37,19,18,7,4,3,1,0,1,0,0,7,5,2,58,26,32,5,0,0.22,0.03,0.2,0.22,0.17,459,1.62,55,87,643,3213,0.14,95,246,-1,2
Evandro Goebel,35,525139200,8/23/1986,Premier League,2016/2017,Midfielder,Hull City,577,165,412,Brazil,11,5,6,0,0,0,0,0,0,0,0,4,2,2,7,0,7,1,0,0,0,0,0,0,0,1.09,82,52,577,0,0.16,269,253,-1,16
Fabian Delph,32,627609600,11/21/1989,Premier League,2016/2017,Midfielder,Manchester City,219,116,103,England,7,3,4,1,1,0,0,0,0,0,0,2,0,2,4,2,2,1,0,0.41,0,0.41,0.78,0,219,1.64,55,31,219,0,0.41,-1,-1,-1,14
Fabio Borini,30,670204800,3/29/1991,Premier League,2016/2017,Forward,Sunderland,1741,842,899,Italy,24,12,12,2,1,1,0,0,0,0,0,4,3,1,31,13,18,5,0,0.1,0,0.1,0.11,0.1,871,1.6,56,73,348,0,0.26,165,417,-1,3
Fábio Pereira da Silva,31,647481600,7/9/1990,Premier League,2016/2017,Defender,Middlesbrough,1849,931,918,Brazil,24,12,12,0,0,0,0,0,0,0,0,7,5,2,28,11,17,8,0,0,0,0,0,0,0,1.36,66,77,231,0,0.39,308,271,89,13
Faustino Marcos Alberto Rojo,31,637891200,3/20/1990,Premier League,2016/2017,Defender,Manchester United,1661,1016,645,Argentina,21,12,9,1,1,0,0,0,0,0,0,9,5,4,12,6,6,5,0,0.05,0,0.05,0.09,0,1661,0.65,138,79,332,0,0.27,219,375,10,11
Federico Fernández,32,604022400,2/21/1989,Premier League,2016/2017,Defender,Swansea City,2430,1080,1350,Argentina,27,12,15,0,0,0,2,2,0,0,0,6,4,2,37,16,21,7,0,0.07,0.07,0,0,0,0,1.37,66,90,347,1215,0.26,318,176,90,25
Fernando Francisco Reges,34,554169600,7/25/1987,Premier League,2016/2017,Midfielder,Manchester City,559,170,389,Brazil,15,7,8,0,0,0,0,0,0,0,0,3,1,2,10,3,7,3,0,0,0,0,0,0,0,1.61,56,37,186,0,0.48,410,411,-1,18
